CustomerID,Gender,MaritalStatus,PaymentMethod,SpendingTarget,EstimatedIncome,CreditAmount,TermLoanMonths,YearlyInterestRate,MonthlyCharges,TotalAmountPayments,CurrentLoans,SustainabilityIndicator,EmploymentStatus,ExistingCustomer,Nationality,BKR_Registration,DefaultInd
7590-VHVEG,Female,Widowed,Electronic check,Outstanding loan,"€ 52,000.00","€ 20,550.00",108,9.9%,€ 288.21,"€ 31,126.18",0,No,Employed,No,Dutch,No,0
5575-GNVDE,Male,Married,Bank transfer,Other,"€ 42,000.00","€ 22,370.00",48,8.3%,€ 549.27,"€ 26,365.09",0,Yes,Employed,No,Dutch,No,0
3668-QPYBK,Male,Registered partnership,Bank transfer,Study,"€ 44,000.00","€ 24,320.00",25,8.7%,"€ 1,067.13","€ 26,678.36",0,No,Self-Employed,No,Dutch,No,0
7795-CFOCW,Male,Single,Bank transfer,Outstanding loan,"€ 42,000.00","€ 9,550.00",21,8.8%,€ 492.34,"€ 10,339.12",0,No,Employed,No,Dutch,No,1
9237-HQITU,Female,Single,Bank transfer,Outstanding loan,"€ 49,000.00","€ 21,730.00",113,9.2%,€ 288.17,"€ 32,563.30",3,No,Self-Employed,Yes,Dutch,No,1
9305-CDSKC,Female,Divorced,Electronic check,Outstanding loan,"€ 71,000.00","€ 37,000.00",83,9.2%,€ 604.21,"€ 50,149.31",0,No,Self-Employed,No,Dutch,No,0
1452-KIOVK,,Registered partnership,Electronic check,Study loan debt,"€ 71,000.00","€ 14,000.00",20,9.1%,€ 757.07,"€ 15,141.41",0,No,Employed,No,Dutch,No,0
6713-OKOMC,Female,Registered partnership,Electronic check,Renovation,"€ 42,000.00","€ 27,430.00",105,9.4%,€ 384.20,"€ 40,341.28",0,Yes,Employed,No,Dutch,No,0
7892-POOKP,Female,Single,Bank transfer,Study loan debt,"€ 75,000.00","€ 22,000.00",33,8.2%,€ 746.92,"€ 24,648.41",2,No,Freelancer,Yes,Dutch,No,0
6388-TABGU,Male,Single,Mailed check,Study,"€ 47,000.00","€ 28,810.00",84,9.8%,€ 475.31,"€ 39,925.89",0,No,Self-Employed,No,Dutch,No,0
9763-GRSKD,Male,Divorced,Electronic check,Study loan debt,"€ 59,000.00","€ 21,550.00",87,9.8%,€ 347.00,"€ 30,188.94",1,No,Employed,Yes,Dutch,No,0
7469-LKBCI,Male,Single,Bank transfer,Study,"€ 86,000.00","€ 18,000.00",48,9.5%,€ 452.22,"€ 21,706.39",0,No,Employed,No,French,No,0
8091-TTVAX,Male,Single,Bank transfer,Study,"€ 71,000.00","€ 12,000.00",71,9.4%,€ 220.99,"€ 15,690.49",0,No,Employed,No,Dutch,No,1
0280-XJGEX,Male,Single,Electronic check,Study,"€ 55,000.00","€ 12,790.00",99,9.5%,€ 186.85,"€ 18,498.24",0,No,Employed,No,Dutch,No,0
5129-JLPIS,Male,Single,Bank transfer,Study,"€ 45,000.00","€ 22,160.00",86,9.6%,€ 357.39,"€ 30,735.45",1,No,Employed,Yes,Dutch,No,1
3655-SNQYZ,Female,Married,Mailed check,Outstanding loan,"€ 75,000.00","€ 24,000.00",97,9.4%,€ 354.14,"€ 34,351.24",0,No,Employed,No,Dutch,No,0
