,CustomerID,Gender,MaritalStatus,PaymentMethod,SpendingTarget,EstimatedIncome,CreditAmount,TermLoanMonths,YearlyInterestRate,MonthlyCharges,TotalAmountPayments,CurrentLoans,SustainabilityIndicator,EmploymentStatus,ExistingCustomer,Nationality,BKR_Registration,DefaultInd
0,7590-VHVEG,Female,Widowed,Electronic check,Outstanding loan,52000.00,20550.00,108,9.9%,288.21,31126.18,0,No,Employed,No,Dutch,No,0
1,5575-GNVDE,Male,Married,Bank transfer,Other,42000.00,22370.00,48,8.3%,549.27,26365.09,0,Yes,Employed,No,Dutch,No,0
2,3668-QPYBK,Male,Registered partnership,Bank transfer,Study,44000.00,24320.00,25,8.7%,1067.13,26678.36,0,No,Self-Employed,No,Dutch,No,0
3,7795-CFOCW,Male,Single,Bank transfer,Outstanding loan,42000.00,9550.00,21,8.8%,492.34,10339.12,0,No,Employed,No,Dutch,No,1
4,9237-HQITU,Female,Single,Bank transfer,Outstanding loan,49000.00,21730.00,113,9.2%,288.17,32563.30,3,No,Self-Employed,Yes,Dutch,No,1
5,9305-CDSKC,Female,Divorced,Electronic check,Outstanding loan,71000.00,37000.00,83,9.2%,604.21,50149.31,0,No,Self-Employed,No,Dutch,No,0
6,1452-KIOVK,,Registered partnership,Electronic check,Study loan debt,71000.00,14000.00,20,9.1%,757.07,15141.41,0,No,Employed,No,Dutch,No,0
7,6713-OKOMC,Female,Registered partnership,Electronic check,Renovation,42000.00,27430.00,105,9.4%,384.20,40341.28,0,Yes,Employed,No,Dutch,No,0
8,7892-POOKP,Female,Single,Bank transfer,Study loan debt,75000.00,22000.00,33,8.2%,746.92,24648.41,2,No,Freelancer,Yes,Dutch,No,0
9,6388-TABGU,Male,Single,Mailed check,Study,47000.00,28810.00,84,9.8%,475.31,39925.89,0,No,Self-Employed,No,Dutch,No,0
10,9763-GRSKD,Male,Divorced,Electronic check,Study loan debt,59000.00,21550.00,87,9.8%,347.00,30188.94,1,No,Employed,Yes,Dutch,No,0
11,7469-LKBCI,Male,Single,Bank transfer,Study,86000.00,18000.00,48,9.5%,452.22,21706.39,0,No,Employed,No,French,No,0
12,8091-TTVAX,Male,Single,Bank transfer,Study,71000.00,12000.00,71,9.4%,220.99,15690.49,0,No,Employed,No,Dutch,No,1
13,0280-XJGEX,Male,Single,Electronic check,Study,55000.00,12790.00,99,9.5%,186.85,18498.24,0,No,Employed,No,Dutch,No,0
14,5129-JLPIS,Male,Single,Bank transfer,Study,45000.00,22160.00,86,9.6%,357.39,30735.45,1,No,Employed,Yes,Dutch,No,1
15,3655-SNQYZ,Female,Married,Mailed check,Outstanding loan,75000.00,24000.00,97,9.4%,354.14,34351.24,0,No,Employed,No,Dutch,No,0
16,8191-XWSZG,Female,Married,Mailed check,Other,27000.00,8330.00,54,9.5%,190.18,10269.45,0,Yes,Self-Employed,No,Dutch,No,0
17,9959-WOFKT,Male,Married,Bank transfer,Study loan debt,42000.00,5080.00,90,9.8%,79.93,7193.37,1,No,Employed,Yes,Italian,No,0
18,4190-MFLUW,Female,Married,Bank transfer,Other,47000.00,9060.00,79,9.3%,153.78,12148.74,0,Yes,Employed,No,Dutch,No,0
19,4183-MYFRB,Female,Divorced,Bank transfer,Outstanding loan,62000.00,17890.00,119,9.8%,235.60,28036.90,0,No,Employed,No,Dutch,No,0
20,8779-QRDMV,Male,Married,Bank transfer,Renovation,74000.00,20000.00,100,9.3%,288.15,28814.82,0,Yes,Employed,No,Dutch,No,0
21,1680-VDCWW,Male,Single,Bank transfer,Outstanding loan,46000.00,12060.00,68,9.7%,231.24,15724.09,0,No,Employed,No,Dutch,No,1
22,1066-JKSGK,Male,Registered partnership,Bank transfer,Car,66000.00,26060.00,43,9.5%,717.41,30848.84,0,Yes,Self-Employed,No,Dutch,No,0
23,3638-WEABW,Female,Single,Bank transfer,Other,40000.00,28150.00,50,9.1%,678.57,33928.56,0,Yes,Employed,No,DUTCH,No,1
24,6322-HRPFA,Male,Registered partnership,Electronic check,Study,48000.00,14810.00,65,8.2%,282.95,18391.46,0,No,Employed,No,Dutch,No,0
25,6865-JZNKO,Female,Single,Electronic check,Renovation,76000.00,13000.00,107,9.9%,183.38,19621.51,1,Yes,Employed,Yes,Dutch,No,0
26,6467-CHFZW,Male,Divorced,Electronic check,Study loan debt,42000.00,9030.00,110,9.9%,125.21,13773.50,0,No,Employed,No,Dutch,No,0
27,8665-UTDHZ,Male,Widowed,Electronic check,Study,87000.00,48000.00,36,9.3%,1533.10,55191.53,0,No,Freelancer,No,Dutch,No,1
28,5248-YGIJN,Male,Married,Bank transfer,Study loan debt,26000.00,29190.00,35,8.8%,948.64,33202.44,0,No,Employed,No,Dutch,No,0
29,8773-HHUOZ,Female,Single,Bank transfer,Study loan debt,79000.00,5000.00,61,9.3%,103.17,6293.65,0,No,Employed,No,Dutch,No,0
30,3841-NFECX,Female,Married,Bank transfer,Study,68000.00,10640.00,28,8.9%,422.22,11822.26,0,No,Employed,No,Dutch,No,0
31,4929-XIHVW,Male,Widowed,Bank transfer,Study,84000.00,18000.00,21,9.0%,929.62,195219.71,0,No,Employed,No,Estonian,No,0
32,6827-IEAUQ,Female,Divorced,Bank transfer,Other,24000.00,27040.00,76,9.9%,480.33,36504.96,0,Yes,Employed,No,Dutch,No,0
33,7310-EGVHZ,Male,Widowed,Credit card,Study loan debt,45000.00,23140.00,56,9.2%,509.80,28548.99,1,No,Employed,Yes,Dutch,No,0
34,3413-BMNZE,Male,Married,Credit card,Outstanding loan,76000.00,10000.00,15,8.5%,705.07,10576.00,0,No,Employed,No,Dutch,No,0
35,6234-RAAPL,Female,Married,Mailed check,Study loan debt,41000.00,10490.00,106,9.9%,148.84,15777.47,0,No,Self-Employed,No,Dutch,No,0
36,6047-YHPVI,Male,Widowed,Bank transfer,Study loan debt,74000.00,27000.00,109,9.4%,369.24,40246.93,0,No,Self-Employed,No,Dutch,No,0
37,6572-ADKRS,Female,Single,Bank transfer,Renovation,80000.00,27000.00,64,8.7%,528.79,338427.15,0,Yes,Employed,No,Dutch,No,0
38,5380-WJKOV,Male,Registered partnership,Credit card,Outstanding loan,52000.00,24490.00,95,9.8%,371.59,35301.37,1,No,Employed,Yes,Dutch,No,0
39,8168-UQWWF,Female,Married,Bank transfer,Study loan debt,28000.00,11680.00,106,9.3%,161.98,17169.91,0,No,Employed,No,Dutch,No,0
40,8865-TNMNX,Male,Married,Bank transfer,Outstanding loan,53000.00,16240.00,100,9.2%,233.12,23312.33,3,No,Employed,Yes,Dutch,No,0
41,9489-DEDVP,Female,Divorced,Mailed check,Car,59000.00,6090.00,41,9.0%,173.09,7096.88,0,Yes,Employed,No,Dutch,No,0
42,9867-JCZSP,Female,Single,Mailed check,Study loan debt,23000.00,18480.00,112,9.8%,252.43,28272.63,0,No,Employed,No,Dutch,Yes,1
43,4671-VJLCL,Female,Single,Credit card,Outstanding loan,84000.00,25000.00,90,9.3%,386.86,34817.12,0,No,Employed,No,Dutch,No,0
44,4080-IIARD,Female,Single,Bank transfer,,24000.00,23360.00,106,9.2%,322.72,34208.33,0,No,Employed,No,Dutch,No,0
45,3714-NTNFO,Female,Single,Bank transfer,Study loan debt,60000.00,12060.00,104,9.8%,172.54,17944.22,1,No,Freelancer,Yes,Dutch,No,1
46,5948-UJZLF,Male,Registered partnership,Electronic check,Study loan debt,67000.00,22210.00,37,8.2%,681.39,25211.30,0,No,Employed,No,Dutch,No,0
47,7760-OYPDY,Female,Divorced,Mailed check,Outstanding loan,43000.00,29830.00,97,9.9%,448.02,43457.47,0,No,Self-Employed,No,Dutch,No,0
48,7639-LIAYI,Male,Married,Bank transfer,Study loan debt,27000.00,27420.00,35,9.5%,900.05,31501.73,0,No,Employed,No,Dutch,No,0
49,2954-PIBKO,Female,Single,Electronic check,Outstanding loan,24000.00,13050.00,15,9.4%,925.51,13882.69,0,No,Employed,No,Dutch,No,0
50,8012-SOUDQ,Female,Single,Bank transfer,Car,38000.00,27620.00,69,9.3%,518.32,35764.35,0,Yes,Self-Employed,No,Dutch,No,0
51,9420-LOJKX,Female,Single,Electronic check,Other,35000.00,16390.00,85,9.6%,266.50,22652.36,0,Yes,Employed,No,Dutch,No,0
52,6575-SUVOI,Female,Married,Credit card,Car,25000.00,19110.00,27,8.4%,779.24,21039.36,0,Yes,Self-Employed,No,Dutch,No,0
53,7495-OOKFY,Female,Registered partnership,Bank transfer,Other,30000.00,19880.00,103,9.7%,285.12,29367.00,0,Yes,Self-Employed,No,Dutch,No,0
54,4667-QONEA,Female,Divorced,Bank transfer,Outstanding loan,25000.00,18290.00,89,9.5%,287.12,25553.28,1,No,Self-Employed,Yes,Dutch,No,0
55,1658-BYGOY,Male,Married,Credit card,Car,53000.00,10060.00,88,9.9%,161.24,14189.49,1,Yes,Freelancer,Yes,Dutch,No,0
56,8769-KKTPH,Female,,Bank transfer,Outstanding loan,51000.00,27050.00,74,9.4%,483.06,35746.12,0,No,Employed,No,Dutch,No,0
57,5067-XJQFU,Male,Married,Bank transfer,Outstanding loan,42000.00,28010.00,90,9.6%,437.78,39400.50,3,No,Employed,Yes,Dutch,No,0
58,3957-SQXML,Female,Married,Credit card,Study,46000.00,25310.00,93,9.8%,389.52,36224.99,0,No,Employed,No,Dutch,No,0
59,5954-BDFSG,Female,Married,Bank transfer,,69000.00,21860.00,69,9.2%,409.15,28231.16,0,No,Employed,No,Dutch,No,0
60,0434-CSFON,Female,Divorced,Bank transfer,Study loan debt,25000.00,28170.00,108,9.6%,390.52,42176.23,0,No,Employed,No,Dutch,No,1
61,1215-FIGMP,Male,Single,Mailed check,Car,62000.00,8590.00,103,9.9%,124.11,12783.79,0,Yes,Employed,No,Dutch,No,0
62,0526-SXDJP,Male,Divorced,Bank transfer,Study,64000.00,6620.00,69,8.7%,122.27,8436.79,1,No,Employed,Yes,Dutch,No,0
63,0557-ASKVU,Female,Widowed,Bank transfer,Renovation,59000.00,20670.00,83,9.9%,344.94,28630.21,0,Yes,Self-Employed,No,Dutch,No,0
64,5698-BQJOH,Female,Divorced,Bank transfer,Study loan debt,30000.00,24190.00,116,9.3%,316.88,36758.65,0,No,Self-Employed,No,Estonian,No,1
65,5122-CYFXA,Female,Single,Credit card,Study,42000.00,14120.00,14,8.9%,1065.57,14918.00,0,No,Employed,No,Dutch,No,0
66,8627-ZYGSZ,Male,Divorced,Bank transfer,Study loan debt,70000.00,9000.00,97,9.6%,133.75,12973.37,2,No,Employed,Yes,Dutch,No,0
67,3410-YOQBQ,Female,Single,Bank transfer,Car,75000.00,27000.00,109,9.3%,367.79,40089.47,0,Yes,Employed,No,Dutch,No,0
68,3170-NMYVV,Female,Single,Electronic check,Study loan debt,76000.00,10000.00,85,9.5%,162.08,13777.19,0,No,Self-Employed,No,Dutch,No,0
